style_idx,style,rung,k,tol,channel,verdict_off,verdict_on
10,Poetic,Analogical,2,0,same,0,7
10,Poetic,Analogical,2,0.001,same,0,7
10,Poetic,Analogical,2,0.005,same,0,7
10,Poetic,Analogical,2,0.01,same,0,7
10,Poetic,Analogical,2,0.02,same,0,7
10,Poetic,Analogical,3,0,same,0,7
10,Poetic,Analogical,3,0.001,same,0,7
10,Poetic,Analogical,3,0.005,same,0,7
10,Poetic,Analogical,3,0.01,same,0,7
10,Poetic,Analogical,3,0.02,same,0,7
10,Poetic,Analogical,4,0,same,0,7
10,Poetic,Analogical,4,0.001,same,0,7
10,Poetic,Analogical,4,0.005,same,0,7
10,Poetic,Analogical,4,0.01,same,0,7
10,Poetic,Analogical,4,0.02,same,0,7
11,Playful,Surface,2,0,same,0,7
11,Playful,Surface,2,0.001,same,0,7
11,Playful,Surface,2,0.005,same,0,7
11,Playful,Surface,2,0.01,same,0,7
11,Playful,Surface,2,0.02,same,0,7
11,Playful,Surface,3,0,same,0,7
11,Playful,Surface,3,0.001,same,0,7
11,Playful,Surface,3,0.005,same,0,7
11,Playful,Surface,3,0.01,same,0,7
11,Playful,Surface,3,0.02,same,0,7
11,Playful,Surface,3,0.1,cross,0,26
11,Playful,Surface,4,0,same,0,7
11,Playful,Surface,4,0.001,same,0,7
11,Playful,Surface,4,0.005,same,0,7
11,Playful,Surface,4,0.01,same,0,7
11,Playful,Surface,4,0.02,same,0,7
11,Playful,Surface,4,0.1,cross,0,26
11,Playful,Shallow,2,0,same,0,7
11,Playful,Shallow,2,0.001,same,0,7
11,Playful,Shallow,2,0.005,same,0,7
11,Playful,Shallow,2,0.01,same,0,7
11,Playful,Shallow,2,0.02,same,0,7
11,Playful,Shallow,3,0,same,0,7
11,Playful,Shallow,3,0.001,same,0,7
11,Playful,Shallow,3,0.005,same,0,7
11,Playful,Shallow,3,0.01,same,0,7
11,Playful,Shallow,3,0.02,same,0,7
11,Playful,Shallow,3,0.1,cross,0,26
11,Playful,Shallow,4,0,same,0,7
11,Playful,Shallow,4,0.001,same,0,7
11,Playful,Shallow,4,0.005,same,0,7
11,Playful,Shallow,4,0.01,same,0,7
11,Playful,Shallow,4,0.02,same,0,7
11,Playful,Shallow,4,0.1,cross,0,26
11,Playful,Contextual,2,0,same,0,7
11,Playful,Contextual,2,0.001,same,0,7
11,Playful,Contextual,2,0.005,same,0,7
11,Playful,Contextual,2,0.01,same,0,7
11,Playful,Contextual,2,0.02,same,0,7
11,Playful,Contextual,3,0,same,0,7
11,Playful,Contextual,3,0.001,same,0,7
11,Playful,Contextual,3,0.005,same,0,7
11,Playful,Contextual,3,0.01,same,0,7
11,Playful,Contextual,3,0.02,same,0,7
11,Playful,Contextual,3,0.1,cross,0,26
11,Playful,Contextual,4,0,same,0,7
11,Playful,Contextual,4,0.001,same,0,7
11,Playful,Contextual,4,0.005,same,0,7
11,Playful,Contextual,4,0.01,same,0,7
11,Playful,Contextual,4,0.02,same,0,7
11,Playful,Analogical,2,0,same,0,7
11,Playful,Analogical,2,0.001,same,0,7
11,Playful,Analogical,2,0.005,same,0,7
11,Playful,Analogical,2,0.01,same,0,7
11,Playful,Analogical,2,0.02,same,0,7
11,Playful,Analogical,3,0,same,0,7
11,Playful,Analogical,3,0.001,same,0,7
11,Playful,Analogical,3,0.005,same,0,7
11,Playful,Analogical,3,0.01,same,0,7
11,Playful,Analogical,3,0.02,same,0,7
11,Playful,Analogical,4,0,same,0,7
11,Playful,Analogical,4,0.001,same,0,7
11,Playful,Analogical,4,0.005,same,0,7
11,Playful,Analogical,4,0.01,same,0,7
11,Playful,Analogical,4,0.02,same,0,7
12,Empathetic,Surface,2,0.1,same,0,4
12,Empathetic,Shallow,2,0.1,same,0,4
12,Empathetic,Contextual,2,0.1,same,0,4
13,Compassionate,Surface,2,0.1,same,0,4
13,Compassionate,Shallow,2,0.1,same,0,4
13,Compassionate,Contextual,2,0.1,same,0,4
14,Supportive,Surface,2,0.1,same,0,4
14,Supportive,Shallow,2,0.1,same,0,4
14,Supportive,Contextual,2,0.1,same,0,4
15,Nurturing,Surface,2,0.1,same,0,4
15,Nurturing,Shallow,2,0.1,same,0,4
15,Nurturing,Contextual,2,0.1,same,0,4
16,Gentle,Surface,2,0.1,same,0,4
16,Gentle,Shallow,2,0.1,same,0,4
16,Gentle,Contextual,2,0.1,same,0,4
17,Warm,Surface,2,0.1,same,0,4
17,Warm,Shallow,2,0.1,same,0,4
17,Warm,Contextual,2,0.1,same,0,4
18,Direct,Surface,2,0.1,cross,0,13
18,Direct,Surface,4,0.1,cross,0,13
18,Direct,Surface,8,0.1,cross,0,13
18,Direct,Shallow,2,0.1,cross,0,13
18,Direct,Shallow,4,0.1,cross,0,13
18,Direct,Shallow,8,0.1,cross,0,13
18,Direct,Contextual,4,0.1,cross,0,13
18,Direct,Contextual,8,0.1,cross,0,13
18,Direct,Analogical,2,0,cross,0,27
18,Direct,Analogical,2,0.001,cross,0,27
18,Direct,Analogical,2,0.005,cross,0,27
18,Direct,Analogical,2,0.01,cross,0,27
18,Direct,Analogical,2,0.02,cross,0,27
18,Direct,Analogical,3,0,cross,0,27
18,Direct,Analogical,3,0.001,cross,0,27
18,Direct,Analogical,3,0.005,cross,0,27
18,Direct,Analogical,3,0.01,cross,0,27
18,Direct,Analogical,3,0.02,cross,0,27
18,Direct,Analogical,4,0,cross,0,27
18,Direct,Analogical,4,0.001,cross,0,27
18,Direct,Analogical,4,0.005,cross,0,27
18,Direct,Analogical,4,0.01,cross,0,27
18,Direct,Analogical,4,0.02,cross,0,27
19,Concise,Surface,2,0.1,cross,0,13
19,Concise,Surface,4,0.1,cross,0,13
19,Concise,Surface,8,0.1,cross,0,13
19,Concise,Shallow,2,0.1,cross,0,13
19,Concise,Shallow,4,0.1,cross,0,13
19,Concise,Shallow,8,0.1,cross,0,13
19,Concise,Contextual,4,0.1,cross,0,13
19,Concise,Contextual,8,0.1,cross,0,13
19,Concise,Analogical,2,0,cross,0,27
19,Concise,Analogical,2,0.001,cross,0,27
19,Concise,Analogical,2,0.005,cross,0,27
19,Concise,Analogical,2,0.01,cross,0,27
19,Concise,Analogical,2,0.02,cross,0,27
19,Concise,Analogical,3,0,cross,0,27
19,Concise,Analogical,3,0.001,cross,0,27
19,Concise,Analogical,3,0.005,cross,0,27
19,Concise,Analogical,3,0.01,cross,0,27
19,Concise,Analogical,3,0.02,cross,0,27
19,Concise,Analogical,4,0,cross,0,27
19,Concise,Analogical,4,0.001,cross,0,27
19,Concise,Analogical,4,0.005,cross,0,27
19,Concise,Analogical,4,0.01,cross,0,27
