# COCA master lexicon (ngrams.info coca_lexicon.txt, format #3), compacted.
# word<TAB>lemma<TAB>pos — pos: n noun · v verb · b be/aux · j adj · r adverb · i prep.
# First (highest-frequency) reading per surface form; top ~20k alphabetic forms.
leaders	leader	n
window	window	n
television	television	n
natural	natural	j
price	price	n
effort	effort	n
record	record	n
series	series	n
movie	movie	n
stop	stop	v
playing	play	v
difference	difference	n
players	player	n
happen	happen	v
systems	system	n
various	various	j
success	success	n
poor	poor	j
books	book	n
exactly	exactly	r
move	move	v
value	value	n
robert	robert	n
forward	forward	r
hot	hot	j
matter	matter	n
fire	fire	n
stories	story	n
drug	drug	n
defense	defense	n
ability	ability	n
call	call	v
guys	guy	n
simple	simple	j
entire	entire	j
meet	meet	v
open	open	j
onto	onto	i
size	size	n
beyond	beyond	i
treatment	treatment	n
levels	level	n
wall	wall	n
happy	happy	j
religious	religious	j
chicago	chicago	n
near	near	i
than	than	i
quality	quality	n
stay	stay	v
changes	change	n
financial	financial	j
building	building	n
greater	great	j
live	live	v
pressure	pressure	n
older	old	j
girls	girl	n
jobs	job	n
less	less	r
start	start	v
traditional	traditional	j
movement	movement	n
risk	risk	n
environmental	environmental	j
james	james	n
member	member	n
cultural	cultural	j
sat	sit	v
watching	watch	v
career	career	n
sex	sex	n
forces	force	n
games	game	n
huge	huge	j
legal	legal	j
approach	approach	n
project	project	n
science	science	n
activities	activity	n
image	image	n
necessary	necessary	j
list	list	n
europe	europe	n
easy	easy	j
fine	fine	j
specific	specific	j
piece	piece	n
particular	particular	j
popular	popular	j
events	event	n
numbers	number	n
showed	show	v
picture	picture	n
main	main	j
amount	amount	n
analysis	analysis	n
county	county	n
paul	paul	n
sexual	sexual	j
giving	give	v
clearly	clearly	r
truth	truth	n
heard	hear	v
choice	choice	n
ran	run	v
low	low	j
eye	eye	n
environment	environment	n
left	leave	v
ok	ok	r
race	race	n
efforts	effort	n
brother	brother	n
order	order	n
all	all	r
staff	staff	n
short	short	j
no	no	r
opportunity	opportunity	n
buy	buy	v
type	type	n
sitting	sit	v
boys	boy	n
stood	stand	v
disease	disease	n
turn	turn	v
ahead	ahead	r
lines	line	n
francisco	francisco	n
front	front	i
production	production	n
beautiful	beautiful	j
longer	long	r
politics	politics	n
conditions	condition	n
general	general	j
peace	peace	n
effects	effect	n
response	response	n
run	run	v
mouth	mouth	n
glass	glass	n
color	color	n
pain	pain	n
tom	tom	n
loss	loss	n
learn	learn	v
region	region	n
soviet	soviet	j
positive	positive	j
management	management	n
skills	skill	n
smith	smith	n
products	product	n
guess	guess	v
resources	resource	n
parts	part	n
stuff	stuff	n
board	board	n
stock	stock	n
arm	arm	n
impact	impact	n
tonight	tonight	r
training	training	n
future	future	n
moving	move	v
trees	tree	n
senate	senate	n
israel	israel	n
create	create	v
deal	deal	n
hospital	hospital	n
means	mean	v
weight	weight	n
trade	trade	n
kitchen	kitchen	n
cost	cost	n
dollars	dollar	n
continue	continue	v
violence	violence	n
evening	evening	n
article	article	n
skin	skin	n
message	message	n
differences	difference	n
bill	bill	n
wrong	wrong	j
interesting	interesting	j
include	include	v
throughout	throughout	i
above	above	i
died	die	v
larger	large	j
pretty	pretty	r
successful	successful	j
atlanta	atlanta	n
gives	give	v
doctor	doctor	n
range	range	n
leader	leader	n
light	light	n
effective	effective	j
stage	stage	n
organization	organization	n
richard	richard	n
jim	jim	n
fish	fish	n
reasons	reason	n
species	species	n
trial	trial	n
july	july	n
places	place	n
los	los	n
surface	surface	n
bob	bob	n
activity	activity	n
individuals	individual	n
test	test	n
walked	walk	v
critical	critical	j
ideas	idea	n
scene	scene	n
remember	remember	v
trouble	trouble	n
radio	radio	n
majority	majority	n
directly	directly	r
modern	modern	j
suddenly	suddenly	r
china	china	n
theory	theory	n
crime	crime	n
cancer	cancer	n
