account_number,account_name,family,source
015900,"Anzahlungen auf Wohnbauten auf eigenen Grundstücken Seite 1 0 nlage- und Kapitalkonten 20 10 Bohrgeräte, Laser u. a. 20 11 Kleingeräte 21 00 Maschinengebundene Werkzeuge 40 00 Technische Anlagen 60 00 Transportanlagen und Ähnliches 80 00 Betriebsvorrichtungen 90 00 Technische Anlagen und Maschinen im Bau 99 00 Anzahlungen auf technische Anlagen und Maschinen 00 00 Andere Anlagen, Betriebs- und Geschäftsausstattung 00 10 Fuhrpark 00 11 Bau- und Mannschaftswagen 01 00 Andere Anlagen, Betriebs- und Geschäftsausstattung 10 00 Andere Anlagen 20 00 Pkw 20 10 Fuhrpark - Busse und Kombi 20 70 Fuhrpark - Pkw - gewerblich 21 00 Pkw 50 00 Lkw 50 10 Fuhrpark - Lkw 51 00 Lkw 80 00 Sonstige Transportmittel 80 10 Fuhrpark Hänger/ Tieflader 80 11 Transporter und Pritschen 80 12 Stapler 80 90 Sonstige Transportgeräte 81 00 Sonstige Transportmittel 00 00 Betriebsausstattung 00 10 Bauwagen und Baucontainer 00 11 Baustellenausstattung 00 12 Einrichtung Bauhof 00 13 Einrichtung Werkstatt 00 14 Wohnwagen und Baracken 01 00 Betriebsausstattung 10 00 Geschäftsausstattung 10 10 EDV-Hardware 10 11 Kommunikationsanlagen 11 00 Geschäftsausstattung 20 00 Büroeinrichtung 30 00 Ladeneinrichtung 40 00 Werkzeuge 40 10 Werkzeuge außerhalb der Baugeräteliste (BGL) 41 00 Werkzeuge 50 00 Einbauten in fremde Grundstücke 60 00 Gerüst- und Schalungsmaterial 60 10 Genormte Rüstung und Schalung Seite 2 0 Anlage- und Kapitalkonten 520 00 Ausleihungen an Unternehmen, mit denen ein Beteiligungs- verhältnis besteht 523 00 Ausleihungen an Unternehmen, mit denen ein Beteiligungs- verhältnis besteht, Personengesellschaften 524 00 Ausleihungen an Unternehmen, mit denen ein Beteiligungs- verhältnis besteht, Kapitalgesellschaften 525 00 Wertpapiere des Anlagevermögens 530 00 Wertpapiere mit Gewinnbeteiligungsan- sprüchen, die dem Teileinkünfteverfahren unterliegen 535 00 Festverzinsliche Wertpapiere 538 00 Anteile einer GmbH & Co. KG an einer Komplementär-GmbH 540 00 Übrige sonstige Ausleihungen 550 00 Darlehen 570 00 Genossenschaftsanteile zum langfristigen Verbleib 580 00 Ausleihungen an Gesellschafter 582 00 Ausleihungen an GmbH-Gesellschafter",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
016000,Bauten auf fremden Grundstücken,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
016500,Geschäftsbauten,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
017000,Fabrikbauten geleistete Anzah-,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
017500,Garagen lungen und Anla-,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
017600,Außenanlagen gen im Bau,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
017700,Hof- und Wegebefestigungen,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
017800,"Einrichtungen für Geschäfts-, Fabrik-, Andere Anlagen, Wohn- und Betriebs- und Geandere Bauten schäftsausstat-",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
017900,Andere Bauten tung,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
018000,"Geschäfts-, Fabrik- und andere Bauten im Bau auf fremden Grundstücken",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
018900,"Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf fremden Grundstücken",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
019000,Wohnbauten,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
019100,Garagen,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
019200,Außenanlagen,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
019300,Hof- und Wegebefestigungen,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
019400,Einrichtungen für Wohnbauten,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
019500,Wohnbauten im Bau auf fremden Grundstücken,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
019900,Anzahlungen auf Wohnbauten auf fremden Grundstücken,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
020000,Technische Anlagen und Maschinen,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
020010,Baugeräte und Maschinen,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
020011,Kleingeräte außerhalb der Baugeräteliste (BGL),Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
020012,Zubehör für Geräte und Maschinen,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
020013,Technische Anlagen und stationäre Maschinen (z.B. Mischanlagen),Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
020090,Sonstiges Inventar,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
020100,Technische Anlagen und Maschinen,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
021000,Maschinen,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
021010,Baumaschinen alt,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
021011,Baukräne,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
021012,Mobil- und Kettenbagger,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
021013,Kompressoren,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
021014,Sonstige Verdichtungsgeräte,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
021015,Stromaggregate,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
021100,Maschinen,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
022000,"Maschinengebundene Werkzeuge Eigenformular, Nachdruck – auch auszugsweise – nic 0 Bilanz-/GuV- Anlage- und Kapitalkonten Posten HGB",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
046011,"Ungenormte Rüstung Ausleihungen an und Schalung Unternehmen, mit",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
046012,Leiter-/ denen ein Beteili Stahlrohrgerüste gungsverhältnis,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
046100,Gerüst- und besteht Schalungsmaterial,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
048000,Geringwertige Wirtschaftsgüter,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
048500,Wirtschaftsgüter (Sammelposten),Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
049000,Sonstige Betriebs- und Geschäftsausstattung,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
049010,Bauhof- und Geschäftsausstattung,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
049011,"Bauzäune, Absperrungen Wertpapiere des",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
049100,Sonstige Betriebs- und Anlagevermögens Geschäftsausstattung,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
049800,"Andere Anlagen, Betriebs- und Geschäftsausstattung im Bau",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
049900,"Anzahlungen auf andere Anlagen, Betriebs- und Anteile an ver- Geschäftsausstattung bundenen Unter-",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
050000,Anteile an verbundenen nehmen Unternehmen (Anlagevermögen) sonstige Auslei-,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
050100,"Anteile an verbundenen hungen Unternehmen, Personengesellschaften Genossenschafts-",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
050200,"Anteile an verbundenen anteile Unternehmen, Kapitalgesellschaften Ausleihungen an",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
050300,"Anteile an herrschender Gesellschafter oder mehrheitlich beteiligter Gesellschaft, Kapitalgesellschaften",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
050400,Anteile an herrschender oder mit Mehrheit beteiligter Gesellschaft,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
050500,Ausleihungen an ver- bundene Unternehmen,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
050600,"Ausleihungen an ver- sonstige Auslei- bundene Unternehmen, hungen Personengesellschaften Rückdeckungsan-",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
