rank,word,freq,#texts,%caps
729,george,127082,48889,1.0
730,include,127004,74727,0.01
731,economy,126963,44415,0.03
732,california,126859,56145,1.0
733,changes,126855,65190,0.04
734,wall,126667,59154,0.31
735,board,126621,58787,0.24
736,paper,126560,58798,0.05
737,cases,126256,56986,0.02
738,administration,126130,49755,0.2
739,industry,126062,51567,0.05
740,value,125656,54844,0.04
741,agree,125628,61130,0.02
742,recently,125628,87144,0.08
743,learning,125604,43820,0.11
744,price,125077,53077,0.14
745,color,124933,48028,0.34
746,total,124873,63661,0.14
747,natural,124741,58741,0.11
748,particular,124661,68317,0.0
749,republican,124514,36562,0.95
750,clinton,124177,28005,1.0
751,sir,123947,28854,0.28
752,et,123930,18491,0.05
753,beyond,123636,76606,0.12
754,usually,123351,77404,0.09
755,significant,123117,56702,0.02
756,walk,122951,67377,0.07
757,qwq,122893,8073,0.0
758,summer,122504,66074,0.11
759,died,122501,62012,0.02
760,michael,122422,49944,0.99
761,entire,122406,78859,0.01
762,serious,122344,74991,0.03
763,ahead,122303,72655,0.04
764,officials,122238,53613,0.06
765,rate,121972,51832,0.02
766,countries,121944,42828,0.02
767,practice,121762,56438,0.07
768,east,121570,56595,0.76
769,poor,121469,62346,0.11
770,earlier,121392,79486,0.09
771,defense,121079,48458,0.22
772,beautiful,120837,59815,0.08
773,period,120836,63219,0.04
774,reported,120827,54908,0.01
775,simple,120790,74922,0.06
776,girls,120776,42212,0.12
777,drive,120747,64966,0.13
778,final,120593,70673,0.09
779,daughter,120465,50311,0.03
780,quickly,120312,77867,0.03
781,moved,120057,71477,0.01
782,language,119934,44425,0.07
783,financial,119888,50662,0.12
784,p,119359,25266,0.39
785,race,119259,46771,0.07
786,focus,119180,69692,0.07
787,areas,119131,57611,0.02
788,hour,119072,67516,0.03
789,hot,118739,62700,0.12
790,brother,118708,45755,0.09
791,thus,118680,48528,0.44
792,jobs,118556,49002,0.07
793,meeting,118548,62997,0.05
794,sex,118404,37073,0.09
795,decided,118388,76374,0.01
796,kept,118112,70602,0.01
797,choice,117838,67335,0.05
798,type,117672,63244,0.07
799,c,117464,39943,0.74
800,election,117263,38996,0.08
801,interesting,117192,65313,0.07
802,note,117131,60592,0.24
803,ones,117072,73543,0.02
804,add,117042,61731,0.25
805,difference,116108,66118,0.02
806,speak,115904,65899,0.04
807,tv,115813,54871,0.97
808,culture,115578,46480,0.08
809,somebody,115469,54014,0.17
810,moving,115419,71795,0.06
811,led,115359,74159,0.04
812,write,115340,58856,0.06
813,average,115329,56048,0.05
814,b,115289,39736,0.73
815,knowledge,115218,48288,0.05
816,giving,115074,76445,0.04
817,bed,115014,47621,0.03
818,response,114939,60053,0.04
819,increase,114924,56380,0.02
820,billion,114898,41974,0.02
821,san,114727,46204,1.0
822,de,114624,32891,0.18
823,potential,114479,65342,0.02
824,sent,114430,69538,0.01
825,miss,114110,50376,0.47
826,eat,113517,52321,0.08
827,china,113498,28230,0.96
828,despite,113288,74481,0.4
829,played,113196,64897,0.02
830,deep,113122,67615,0.09
831,stories,112939,58913,0.06
832,due,112894,64408,0.07
833,paul,112865,42466,0.99
834,offer,112838,71116,0.02
835,changed,112829,73307,0.02
836,beginning,112771,74025,0.05
837,begin,112445,69990,0.15
838,training,112149,47709,0.07
839,blue,112093,54262,0.26
840,st,111984,39923,0.98
841,approach,111936,58738,0.02
842,foreign,111815,43568,0.16
843,seven,111802,70778,0.14
844,performance,111754,45757,0.06
845,won,111523,58991,0.02
846,population,111511,43633,0.04
847,worth,111487,69774,0.06
848,access,111377,54185,0.07
849,floor,111198,52287,0.03
850,lower,110785,59088,0.07
851,miles,110753,52147,0.12
852,main,110669,66487,0.12
853,consider,110639,69562,0.13
854,picture,110573,60686,0.07
855,mark,110535,57317,0.67
856,d,110260,36366,0.71
857,kid,110139,45920,0.08
858,huge,109956,69801,0.04
859,supposed,109923,62614,0.02
860,hi,109886,34191,0.88
861,staff,109761,54996,0.14
862,physical,109635,46753,0.07
863,analysis,109477,38969,0.1
864,waiting,109323,63837,0.05
865,growth,109172,42135,0.06
866,cold,108862,55866,0.15
867,sit,108843,62567,0.12
868,written,108612,62751,0.03
869,expected,108607,69052,0.01
870,players,108488,37147,0.06
871,perfect,108434,65331,0.1
872,computer,108193,42180,0.09
873,brown,108188,46639,0.62
874,career,107782,57517,0.04
875,piece,107778,63952,0.02
876,watching,107723,63719,0.05
877,created,107395,66398,0.01
878,star,107361,49177,0.34
879,chief,107306,54207,0.31
880,legal,107176,46709,0.08
881,sign,107165,65539,0.07
882,ability,107136,61973,0.01
883,teacher,106917,33069,0.09
884,workers,106868,37393,0.06
885,doctor,106766,38472,0.23
886,amount,106731,64233,0.01
887,die,106633,50341,0.06
888,follow,106496,70659,0.12
889,pick,106370,64954,0.09
890,quality,106362,52119,0.07
891,t,106264,29660,0.46
892,http,106193,23782,0.01
893,patients,106173,21832,0.05
894,learned,106088,67170,0.02
895,clearly,106055,64618,0.13
896,considered,105913,66040,0.04
897,page,105877,51617,0.16
898,telling,105703,63900,0.03
899,seeing,105651,66874,0.07
900,subject,105183,56184,0.03
901,author,105126,57238,0.21
902,paid,105100,60789,0.02
903,shit,105096,18580,0.22
904,comments,104935,49970,0.14
905,design,104894,41220,0.11
906,behavior,104789,40345,0.05
907,central,104720,54577,0.42
908,families,104444,50131,0.05
909,century,104331,49041,0.1
910,cover,104297,60660,0.09
911,attack,104246,48799,0.03
912,particularly,104067,65749,0.03
913,completely,104010,65142,0.03
914,eight,103906,68101,0.11
915,boys,103690,40800,0.13
916,numbers,103635,57924,0.04
917,fear,103581,55956,0.07
918,allow,103039,68108,0.04
919,success,102983,60177,0.05
920,mrs,102939,22682,0.99
921,hospital,102856,40186,0.21
922,calls,102730,64786,0.02
923,justice,102625,39043,0.46
924,save,102530,60143,0.11
925,herself,102310,43532,0.0
926,bank,102304,38764,0.37
927,growing,102055,66890,0.06
928,member,101546,59887,0.07
929,james,101517,45556,0.99
930,specific,101297,53195,0.02
931,cool,101172,51716,0.15
932,opportunity,101149,65555,0.04
933,size,101018,54945,0.03
934,expect,100989,67088,0.03
935,texas,100975,38798,1.0
936,levels,100896,44805,0.01
937,pass,100722,59308,0.07
938,systems,100709,40596,0.09
939,treatment,100661,36950,0.05
940,iraq,100450,21277,1.0
941,trade,100336,41239,0.17
942,below,100311,60658,0.08
943,wish,100226,58362,0.05
944,drug,100073,32363,0.11
945,sleep,100056,42794,0.07
946,spend,99948,64714,0.03
947,global,99855,38128,0.18
948,various,99848,59200,0.04
949,received,99692,61735,0.01
