rank,lemma,PoS,freq,perMil,disp
237,american,j,410698,413.58,0.95
238,little,j,404660,407.5,0.97
239,before,i,402959,405.79,0.97
240,ever,r,402590,405.42,0.99
241,word,n,402216,405.04,0.97
242,fact,n,399574,402.38,0.96
243,right,n,389906,392.65,0.97
244,read,v,386137,388.85,0.96
245,anything,p,384508,387.21,0.98
246,nothing,p,383744,386.44,0.98
247,sure,j,383701,386.4,0.98
248,small,j,382563,384.67,0.97
249,month,n,381833,384.52,0.97
250,program,n,375708,378.35,0.94
251,maybe,r,374325,376.96,0.97
252,right,j,373934,376.56,0.98
253,under,i,373903,376.53,0.98
254,business,n,373744,376.37,0.97
255,home,n,370758,373.36,0.97
256,kind,n,367584,370.17,0.97
257,stop,v,366567,369.14,0.98
258,pay,v,365255,367.82,0.97
259,study,n,364915,367.48,0.87
260,since,c,363805,366.36,0.98
261,issue,n,362137,364.68,0.95
262,name,n,361916,364.46,0.99
263,idea,n,358006,360.52,0.99
264,room,n,357682,360.2,0.95
265,percent,n,357515,360.03,0.94
266,far,r,357192,359.7,0.98
267,away,r,355515,358.01,0.97
268,law,n,354958,357.45,0.95
269,actually,r,353857,356.34,0.96
270,large,j,353703,356.19,0.96
271,though,c,352608,355.09,0.97
272,provide,v,351941,354.41,0.93
273,lose,v,351650,354.12,0.99
274,power,n,351483,353.95,0.97
275,kid,n,351451,353.92,0.98
276,war,n,350575,353.04,0.96
277,understand,v,349141,351.59,0.99
278,head,n,348664,351.11,0.94
279,mother,n,348470,350.92,0.95
280,real,j,348239,350.69,0.99
281,best,j,348202,350.65,0.98
282,team,n,348063,350.51,0.94
283,eye,n,347153,349.59,0.91
284,long,r,345462,347.89,0.99
285,long,j,345005,347.43,0.98
286,side,n,342841,345.25,0.97
287,water,n,342574,344.98,0.97
288,young,j,341002,343.4,0.98
289,wait,v,339926,342.31,0.96
290,okay,r,339699,342.09,0.86
291,both,d,338454,340.83,0.98
292,yet,r,338408,340.79,0.99
293,after,c,334050,336.4,0.98
294,meet,v,333954,336.3,1.0
295,service,n,332313,334.65,0.95
296,area,n,331866,334.2,0.96
297,important,j,331646,333.98,0.96
298,person,n,330987,333.31,0.97
299,hey,u,330236,332.56,0.87
300,thank,v,330129,332.45,0.93
301,much,r,329230,331.54,0.98
302,someone,p,328998,331.31,0.98
303,end,n,328699,331.01,0.98
304,change,v,327637,329.94,0.99
305,however,r,326015,328.35,0.93
306,only,j,325917,328.21,0.98
307,around,r,324064,326.34,0.98
308,hour,n,323999,326.28,0.98
309,everything,p,323760,326.03,0.98
310,national,j,321960,324.22,0.95
311,four,m,319834,322.08,0.98
312,line,n,319492,321.74,0.98
313,girl,n,319120,321.36,0.97
314,around,i,318942,321.18,0.97
315,watch,v,318772,321.01,0.97
316,until,c,318392,320.63,0.97
317,father,n,318173,320.41,0.96
318,sit,v,315022,317.24,0.95
