rank,lemma,PoS,freq,perMil,disp
1531,forest,n,61942,62.38,0.94
1532,multiple,j,61694,62.13,0.92
1533,poll,n,61677,62.11,0.91
1534,wild,j,61605,62.04,0.97
1535,measure,v,61601,62.03,0.92
1536,twice,r,61563,62.0,0.98
1537,cross,v,61522,61.95,0.96
1538,background,n,61431,61.86,0.96
1539,settle,v,61424,61.86,0.97
1540,winter,n,61394,61.83,0.95
1541,focus,n,61392,61.82,0.94
1542,presidential,j,61351,61.78,0.91
1543,operate,v,61296,61.73,0.96
1544,fuck,v,61292,61.72,0.83
1545,view,v,61111,61.54,0.94
1546,daily,j,61083,61.51,0.95
1547,shop,n,61038,61.47,0.96
1548,above,r,61018,61.45,0.94
1549,division,n,60892,61.32,0.94
1550,slowly,r,60889,61.32,0.92
1551,advice,n,60861,61.29,0.97
1552,reaction,n,60811,61.24,0.96
1553,injury,n,60769,61.2,0.95
1554,it,n,60763,61.19,0.92
1555,ticket,n,60721,61.15,0.96
1556,grade,n,60710,61.14,0.91
1557,wow,u,60702,61.13,0.92
1558,birth,n,60673,61.1,0.97
1559,painting,n,60548,60.97,0.9
1560,outcome,n,60498,60.92,0.87
1561,enemy,n,60473,60.9,0.98
1562,damage,n,60384,60.81,0.97
1563,being,n,60354,60.78,0.96
1564,storm,n,60280,60.7,0.96
1565,shape,n,60252,60.68,0.96
1566,bowl,n,60234,60.66,0.92
1567,commission,n,60218,60.64,0.94
1568,captain,n,60187,60.61,0.94
1569,ear,n,60160,60.58,0.93
1570,troop,n,60133,60.56,0.91
1571,female,j,60116,60.54,0.94
1572,wood,n,60115,60.54,0.94
1573,warm,j,60062,60.48,0.95
1574,clean,j,60059,60.36,0.98
1575,lead,n,59773,60.19,0.97
1576,minister,n,59752,60.17,0.94
1577,neighbor,n,59746,60.17,0.98
1578,tiny,j,59714,60.13,0.94
1579,mental,j,59701,60.12,0.94
1580,software,n,59696,60.12,0.93
1581,glad,j,59681,60.1,0.97
1582,finding,n,59632,60.05,0.85
1583,lord,n,59563,59.98,0.94
1584,drive,n,59524,59.94,0.95
1585,temperature,n,59493,59.91,0.94
1586,quiet,j,59485,59.9,0.95
1587,spread,v,59483,59.9,0.97
1588,bright,j,59449,59.87,0.94
1589,cut,n,59434,59.85,0.95
1590,influence,n,59350,59.77,0.93
1591,kick,v,59307,59.72,0.98
1592,annual,j,59301,59.72,0.94
1593,procedure,n,59288,59.7,0.91
1594,respect,n,59226,59.64,0.98
1595,wave,n,59169,59.58,0.96
1596,tradition,n,59099,59.51,0.93
1597,threaten,v,59034,59.45,0.98
1598,primary,j,58990,59.4,0.92
1599,strange,j,58863,59.28,0.96
1600,actor,n,58856,59.27,0.96
1601,blame,v,58815,59.23,0.98
1602,active,j,58801,59.21,0.95
1603,cat,n,58763,59.18,0.96
1604,depend,v,58725,59.14,0.96
1605,bus,n,58707,59.17,0.97
1606,clothes,n,58660,59.07,0.95
1607,affair,n,58553,58.96,0.97
1608,contact,n,58518,58.93,0.97
1609,category,n,58470,58.88,0.91
1610,topic,n,58410,58.82,0.93
1611,victory,n,58342,58.75,0.94
1612,direct,j,58289,58.7,0.94
1613,towards,i,58251,58.66,0.95
1614,map,n,58218,58.63,0.97
1615,egg,n,58198,58.61,0.95
1616,ensure,v,58156,58.56,0.94
1617,general,n,58129,58.54,0.96
1618,expression,n,58120,58.53,0.91
1619,past,i,58119,58.53,0.94
1620,session,n,58108,58.52,0.95
1621,competition,n,58102,58.51,0.95
1622,possibly,r,58071,58.48,0.98
1623,technique,n,58028,58.44,0.92
1624,mine,p,58009,58.42,0.96
1625,average,n,57985,58.39,0.93
1626,intend,v,57970,58.38,0.97
1627,impossible,j,57892,58.3,0.98
1628,moral,j,57787,58.19,0.92
1629,academic,j,57717,58.12,0.85
1630,wine,n,57614,58.02,0.94
1631,approach,v,57607,58.01,0.97
1632,somehow,r,57596,58.0,0.96
1633,gather,v,57562,57.97,0.97
1634,scientific,j,57547,57.95,0.93
1635,african,j,57497,57.9,0.89
1636,cook,v,57383,57.79,0.93
1637,participate,v,57361,57.76,0.92
1638,gay,j,57195,57.6,0.96
1639,appropriate,j,57163,57.56,0.92
1640,youth,n,57132,57.53,0.93
1641,dress,v,56967,57.37,0.95
1642,straight,r,56942,57.34,0.96
1643,weather,n,56939,57.34,0.96
1644,recommend,v,56938,57.34,0.95
1645,medicine,n,56814,57.21,0.95
1646,novel,n,56709,57.11,0.94
1647,obvious,j,56696,57.09,0.97
1648,thursday,n,56611,57.01,0.8
1649,exchange,n,56534,56.93,0.95
1650,explore,v,56474,56.87,0.93
1651,extend,v,56458,56.85,0.96
1652,bay,n,56420,56.82,0.93
1653,invite,v,56415,56.81,0.99
1654,tie,v,56394,56.79,0.98
1655,ah,u,56374,56.77,0.9
1656,belong,v,56342,56.74,0.99
1657,obtain,v,56312,56.71,0.9
1658,broad,j,56310,56.71,0.95
1659,conclusion,n,56296,56.69,0.93
1660,progress,n,56162,56.56,0.96
1661,surprise,n,56116,56.51,0.98
1662,assessment,n,55956,56.35,0.83
1663,smile,n,55936,56.33,0.88
1664,feature,v,55868,56.26,0.93
1665,cash,n,55856,56.25,0.97
1666,defend,v,55825,56.22,0.97
1667,pound,n,55670,56.06,0.94
1668,correct,j,55632,56.02,0.96
1669,married,j,55629,56.02,0.99
1670,pair,n,55530,55.92,0.96
1671,slightly,r,55389,55.78,0.96
1672,loan,n,55348,55.74,0.93
1673,village,n,55217,55.6,0.96
1674,half,n,55207,55.59,0.97
1675,suit,n,55200,55.59,0.96
1676,demand,v,55168,55.56,0.97
1677,historical,j,55028,55.41,0.9
1678,meaning,n,55014,55.4,0.93
1679,attempt,v,54992,55.38,0.95
1680,supply,n,54988,55.37,0.97
1681,lift,v,54954,55.34,0.92
1682,ourselves,p,54951,55.34,0.98
1683,honey,n,54912,55.3,0.91
1684,bone,n,54911,55.3,0.96
1685,consequence,n,54883,55.27,0.94
1686,unique,j,54827,55.21,0.95
1687,next,i,54768,55.15,0.93
1688,regulation,n,54726,55.11,0.93
1689,award,n,54712,55.1,0.95
1690,bottom,n,54701,55.09,0.97
1691,excuse,v,54672,55.06,0.9
1692,familiar,j,54651,55.03,0.98
1693,classroom,n,54542,54.93,0.82
1694,search,v,54487,54.87,0.98
1695,reference,n,54390,54.77,0.92
1696,emerge,v,54379,54.76,0.95
1697,long,c,54354,54.74,0.98
1698,lunch,n,54300,54.68,0.97
1699,judge,v,54271,54.65,0.96
1700,ad,n,54265,54.65,0.95
1701,desire,n,54265,54.65,0.96
1702,instruction,n,54207,54.59,0.84
1703,emergency,n,54204,54.58,0.98
1704,thinking,n,54200,54.58,0.96
1705,tour,n,54157,54.54,0.95
1706,french,j,54133,54.51,0.96
1707,combine,v,54133,54.51,0.94
1708,moon,n,54069,54.45,0.95
1709,sad,j,54041,54.42,0.97
1710,address,n,54018,54.4,0.96
1711,december,n,53957,54.34,0.75
1712,anywhere,r,53945,54.32,0.99
1713,chicken,n,53916,54.29,0.94
1714,fuel,n,53882,54.26,0.95
1715,train,v,53865,54.24,0.98
1716,abuse,n,53777,54.15,0.94
1717,construction,n,53745,54.12,0.95
1718,wednesday,n,53706,54.08,0.64
1719,link,v,53674,54.05,0.95
1720,deserve,v,53654,54.03,0.98
1721,famous,j,53575,53.95,0.98
1722,intervention,n,53351,53.73,0.77
1723,grand,j,53325,53.7,0.97
1724,visit,n,53262,53.64,0.97
1725,confirm,v,53256,53.63,0.97
1726,lucky,j,53231,53.61,0.97
1727,insist,v,53141,53.51,0.97
1728,coast,n,53114,53.49,0.96
1729,proud,j,53067,53.44,0.98
1730,cover,n,53057,53.43,0.97
1731,fourth,m,53036,53.41,0.96
1732,cop,n,52982,53.35,0.95
1733,angry,j,52980,53.35,0.97
1734,native,j,52950,53.32,0.92
1735,supreme,j,52933,53.3,0.92
1736,baseball,n,52864,53.24,0.92
1737,but,i,52830,53.2,0.98
1738,email,n,52826,53.2,0.88
1739,accident,n,52784,53.15,0.99
1740,front,n,52764,53.13,0.97
1741,duty,n,52673,53.04,0.97
1742,growing,j,52661,53.03,0.95
1743,struggle,v,52598,52.97,0.97
1744,revenue,n,52579,52.95,0.93
1745,expand,v,52529,52.9,0.95
1746,chief,j,52508,52.88,0.94
1747,launch,v,52479,52.85,0.95
1748,trend,n,52452,52.82,0.94
1749,ring,n,52405,52.77,0.97
1750,repeat,v,52290,52.66,0.97
1751,breath,n,52280,52.65,0.88
1752,inch,n,52275,52.64,0.91
1753,neck,n,52214,52.58,0.92
1754,core,n,52195,52.56,0.95
1755,terrible,j,52179,52.55,0.97
1756,billion,n,52087,52.45,0.88
1757,relatively,r,52070,52.44,0.93
1758,complex,j,51957,52.32,0.93
1759,press,v,51939,52.3,0.94
1760,miss,n,51928,52.29,0.94
1761,slow,j,51880,52.24,0.97
1762,soft,j,51824,52.19,0.94
1763,generate,v,51796,52.16,0.93
1764,extremely,r,51789,52.15,0.97
1765,last,v,51774,52.14,0.98
1766,drink,n,51766,52.13,0.96
1767,forever,r,51747,52.11,0.98
1768,corporate,j,51712,52.08,0.94
1769,deep,r,51692,52.06,0.97
1770,prefer,v,51684,52.05,0.97
1771,except,c,51607,51.97,0.97
1772,cheap,j,51588,51.95,0.96
1773,literature,n,51523,51.89,0.86
1774,direct,v,51486,51.85,0.96
1775,mayor,n,51481,51.84,0.92
1776,male,j,51453,51.81,0.94
1777,importance,n,51419,51.78,0.9
1778,record,v,51375,51.74,0.96
1779,danger,n,51331,51.69,0.98
1780,emotional,j,51327,51.69,0.96
1781,knee,n,51298,51.66,0.93
1782,ass,n,51238,51.6,0.91
1783,capture,v,51215,51.57,0.97
1784,traffic,n,51138,51.5,0.96
1785,fucking,j,51076,51.43,0.84
1786,outside,r,51030,51.39,0.95
1787,now,c,50991,51.35,0.97
1788,train,n,50975,51.33,0.96
1789,plate,n,50934,51.29,0.95
1790,equipment,n,50894,51.25,0.96
1791,select,v,50804,51.16,0.93
1792,file,v,50771,51.13,0.94
1793,studio,n,50758,51.11,0.96
1794,expensive,j,50744,51.1,0.97
1795,secret,n,50730,51.09,0.98
1796,engine,n,50724,51.08,0.96
1797,adopt,v,50605,50.96,0.94
1798,luck,n,50589,50.94,0.98
1799,via,i,50560,50.92,0.93
1800,pm,r,50551,50.91,0.83
1801,panel,n,50544,50.9,0.96
1802,hero,n,50520,50.87,0.99
1803,circle,n,50510,50.86,0.96
1804,critic,n,50462,50.82,0.94
1805,solve,v,50437,50.79,0.97
1806,busy,j,50363,50.72,0.98
1807,episode,n,50354,50.71,0.91
1808,back,v,50340,50.69,0.98
1809,check,n,50298,50.65,0.98
1810,requirement,n,50272,50.63,0.92
1811,politician,n,50171,50.52,0.95
1812,rain,n,50093,50.44,0.95
1813,colleague,n,50084,50.44,0.95
1814,disappear,v,50053,50.4,0.96
1815,beer,n,50024,50.38,0.96
1816,predict,v,50013,50.36,0.95
1817,exercise,n,49985,50.34,0.94
1818,tired,j,49972,50.32,0.97
1819,democracy,n,49951,50.3,0.92
1820,ultimately,r,49899,50.25,0.96
1821,setting,n,49873,50.22,0.91
1822,honor,n,49871,50.22,0.98
1823,works,n,49867,50.22,0.95
1824,unfortunately,r,49863,50.21,0.97
1825,theme,n,49821,50.82,0.94
1826,issue,v,49792,50.14,0.94
1827,male,n,49791,50.14,0.91
1828,clean,v,49764,50.11,0.98
1829,united,j,49746,50.1,0.93
1830,pool,n,49670,50.02,0.97
1831,educational,j,49636,49.98,0.85
1832,empty,j,49565,49.91,0.92
1833,comfortable,j,49532,49.88,0.98
1834,investigate,v,49473,49.82,0.95
1835,useful,j,49468,49.82,0.94
1836,pocket,n,49462,49.81,0.93
1837,digital,j,49461,49.81,0.9
1838,plenty,p,49361,49.71,0.97
1839,entirely,r,49352,49.7,0.97
1840,fear,v,49288,49.63,0.98
1841,afford,v,49246,49.59,0.98
1842,sugar,n,49230,49.58,0.91
1843,teaching,n,49167,49.51,0.88
1844,conservative,j,49144,49.49,0.95
1845,chairman,n,49123,49.47,0.92
1846,error,n,49042,49.39,0.93
1847,bridge,n,49030,49.37,0.97
1848,tall,j,48978,49.32,0.92
1849,specifically,r,48927,49.27,0.94
1850,flower,n,48912,49.26,0.94
1851,though,r,48909,49.25,0.96
1852,universe,n,48854,49.2,0.95
1853,live,j,48836,49.18,0.96
1854,acknowledge,v,48811,49.15,0.96
1855,limit,n,48738,49.08,0.96
1856,coverage,n,48693,49.04,0.94
1857,crew,n,48673,49.01,0.97
1858,locate,v,48581,48.92,0.96
1859,balance,n,48537,48.88,0.96
1860,equal,j,48522,48.86,0.94
1861,lip,n,48507,48.97,0.87
1862,lean,v,48484,48.82,0.86
1863,zone,n,48403,48.74,0.96
1864,wedding,n,48365,48.7,0.96
1865,copy,n,48365,48.7,0.97
1866,score,v,48316,48.66,0.93
1867,joke,n,48299,48.64,0.98
1868,used,j,48287,48.63,0.99
1869,clear,v,48273,48.61,0.98
1870,bear,v,48272,48.61,0.97
1871,meal,n,48158,48.5,0.96
1872,review,v,48123,48.46,0.94
1873,minority,n,48052,48.39,0.93
1874,sight,n,48022,48.36,0.95
1875,sleep,n,48020,48.36,0.91
1876,russian,j,48001,48.34,0.93
1877,dress,n,47994,48.33,0.94
1878,release,n,47967,48.3,0.95
1879,soviet,j,47917,48.25,0.77
1880,profit,n,47886,48.22,0.95
1881,challenge,v,47854,48.19,0.96
1882,careful,j,47847,48.18,0.99
1883,gender,n,47825,48.73,0.87
1884,tape,n,47805,48.14,0.95
1885,ocean,n,47773,48.11,0.97
1886,unidentified,j,47748,48.08,0.65
1887,host,n,47739,48.07,0.96
1888,grant,v,47729,48.06,0.97
1889,circumstance,n,47687,48.02,0.96
1890,late,r,47682,48.02,0.98
1891,boss,n,47643,47.98,0.98
1892,declare,v,47594,47.93,0.97
1893,domestic,j,47518,47.85,0.94
1894,tea,n,47503,47.84,0.95
1895,organize,v,47499,47.83,0.95
1896,english,j,47464,47.8,0.95
1897,neither,r,47463,47.8,0.97
1898,either,d,47446,47.78,0.97
1899,official,j,47368,47.7,0.97
1900,surround,v,47314,47.65,0.97
1901,manner,n,47282,47.61,0.95
1902,surprised,j,47267,47.6,0.97
1903,percentage,n,47208,47.54,0.93
1904,massive,j,47167,47.5,0.96
1905,cloud,n,47140,47.47,0.95
1906,winner,n,47124,47.46,0.95
1907,honest,j,47105,47.44,0.97
1908,standard,j,47085,47.42,0.93
1909,propose,v,47044,47.37,0.95
1910,rely,v,47026,47.36,0.95
1911,plus,i,46937,47.27,0.96
1912,sentence,n,46932,47.26,0.96
1913,request,n,46865,47.19,0.95
1914,appearance,n,46855,47.18,0.97
1915,regarding,i,46854,47.18,0.91
1916,excellent,j,46847,47.18,0.97
1917,criminal,j,46839,47.17,0.94
1918,salt,n,46825,47.15,0.88
1919,beauty,n,46819,47.15,0.97
1920,bottle,n,46801,47.13,0.94
1921,component,n,46800,47.13,0.89
1922,under,r,46799,47.13,0.97
1923,fee,n,46768,47.1,0.94
1924,jewish,j,46702,47.03,0.95
1925,yours,p,46632,46.96,0.95
1926,dry,j,46604,46.93,0.95
1927,dance,n,46601,46.93,0.97
1928,shirt,n,46579,46.91,0.93
1929,tip,n,46537,46.86,0.96
1930,plastic,n,46455,46.78,0.94
1931,indian,j,46454,46.78,0.92
1932,mark,v,46427,46.75,0.97
1933,tooth,n,46405,46.73,0.93
1934,meat,n,46401,46.73,0.96
1935,stress,n,46396,46.72,0.93
1936,illegal,j,46386,46.71,0.96
1937,significantly,r,46378,46.7,0.87
1938,february,n,46378,46.7,0.59
1939,constitution,n,46355,46.68,0.93
1940,definition,n,46347,46.67,0.92
1941,uncle,n,46291,46.62,0.93
1942,metal,n,46260,46.59,0.95
1943,album,n,46247,46.57,0.94
1944,self,n,46225,46.55,0.94
1945,suppose,v,46217,46.54,0.96
1946,investor,n,46202,46.53,0.92
1947,fruit,n,46189,46.51,0.94
1948,holy,j,46164,46.49,0.97
1949,desk,n,46133,46.46,0.91
1950,eastern,j,46071,46.39,0.94
1951,valley,n,46050,46.37,0.95
1952,largely,r,46002,46.33,0.94
1953,abortion,n,45934,46.26,0.92
1954,chapter,n,45911,46.23,0.94
1955,commitment,n,45809,46.13,0.94
1956,celebrate,v,45778,46.1,0.97
1957,arrest,v,45707,46.03,0.96
1958,dance,v,45680,46.0,0.97
1959,prime,j,45667,45.99,0.95
1960,urban,j,45632,45.95,0.92
1961,internal,j,45614,45.93,0.93
1962,bother,v,45596,45.92,0.97
1963,proposal,n,45546,45.87,0.94
1964,shift,v,45537,45.86,0.96
1965,capacity,n,45515,45.83,0.93
1966,guilty,j,45494,45.81,0.96
1967,warn,v,45485,45.8,0.98
1968,influence,v,45471,45.79,0.91
1969,weak,j,45461,45.78,0.98
1970,except,i,45458,45.78,0.97
1971,catholic,j,45444,45.76,0.93
1972,nose,n,45433,45.75,0.92
1973,variable,n,45399,45.72,0.79
1974,convention,n,45389,45.71,0.92
1975,jury,n,45342,45.66,0.89
1976,root,n,45327,45.65,0.96
1977,incident,n,45300,45.62,0.96
1978,climb,v,45263,45.58,0.92
1979,hearing,n,45235,45.55,0.94
1980,everywhere,r,45191,45.51,0.98
1981,payment,n,45132,45.45,0.95
1982,bear,n,45125,45.44,0.95
1983,conclude,v,45116,45.43,0.94
1984,scream,v,45103,45.42,0.94
1985,surgery,n,45042,45.36,0.96
1986,shadow,n,45022,45.34,0.92
1987,witness,n,44979,45.3,0.95
1988,increasingly,r,44978,45.29,0.94
1989,chest,n,44918,45.23,0.9
1990,amendment,n,44879,45.19,0.91
1991,paint,v,44842,45.16,0.95
1992,secret,j,44837,45.15,0.98
1993,complain,v,44829,45.14,0.97
1994,extent,n,44804,45.12,0.92
1995,pleasure,n,44800,45.11,0.98
1996,nod,v,44778,45.09,0.79
1997,holiday,n,44775,45.09,0.96
1998,super,j,44696,45.01,0.95
1999,talent,n,44687,45.0,0.97
2000,necessarily,r,44682,45.0,0.96
2001,liberal,j,44658,44.97,0.94
2002,expectation,n,44646,44.96,0.94
2003,ride,n,44508,44.82,0.97
2004,accuse,v,44491,44.8,0.94
2005,knock,v,44485,44.8,0.96
2006,previously,r,44480,44.79,0.94
2007,wing,n,44427,44.74,0.97
2008,corporation,n,44407,44.72,0.95
2009,sector,n,44401,44.71,0.93
2010,fat,n,44341,44.65,0.89
2011,experiment,n,44341,44.65,0.94
2012,match,v,44314,44.63,0.98
2013,thin,j,44274,44.59,0.93
2014,farmer,n,44255,44.57,0.95
2015,rare,j,44243,44.55,0.97
2016,english,n,44219,44.53,0.96
2017,confidence,n,44154,44.46,0.97
2018,bunch,n,43989,44.3,0.97
2019,bet,v,43896,44.2,0.97
2020,cite,v,43809,44.12,0.93
2021,northern,j,43805,44.11,0.95
2022,speaker,n,43781,44.09,0.95
2023,breast,n,43780,44.09,0.95
2024,contribution,n,43738,44.05,0.93
2025,leaf,n,43674,43.98,0.93
2026,creative,j,43673,43.98,0.95
2027,interaction,n,43639,43.95,0.85
2028,hat,n,43629,43.94,0.94
2029,doubt,n,43620,43.93,0.97
2030,promise,n,43606,43.91,0.98
2031,pursue,v,43595,43.9,0.96
2032,overall,j,43582,43.89,0.93
2033,nurse,n,43524,43.83,0.94
2034,question,v,43506,43.81,0.98
2035,long-term,j,43471,43.78,0.94
2036,gene,n,43463,43.77,0.89
2037,package,n,43448,43.75,0.96
2038,weird,j,43433,43.74,0.96
2039,difficulty,n,43423,43.73,0.92
2040,hardly,r,43416,43.72,0.97
2041,daddy,n,43376,43.68,0.92
2042,estimate,v,43344,43.65,0.93
2043,list,v,43341,43.65,0.95
2044,era,n,43331,43.64,0.95
2045,comment,v,43256,43.56,0.93
2046,aid,n,43250,43.55,0.94
2047,vs,i,43241,43.54,0.89
2048,invest,v,43235,43.54,0.95
2049,personally,r,43235,43.54,0.95
2050,notion,n,43225,43.53,0.94
2051,explanation,n,43197,43.5,0.95
2052,airport,n,43177,43.48,0.95
2053,chain,n,43156,43.46,0.97
2054,expose,v,43119,43.42,0.97
2055,lock,v,43093,43.4,0.97
2056,convince,v,43085,43.39,0.98
2057,channel,n,43041,43.34,0.97
2058,carefully,r,43034,43.34,0.96
2059,tear,n,43024,43.33,0.93
2060,estate,n,43023,43.33,0.95
2061,initial,j,42971,43.27,0.93
2062,offer,n,42944,43.25,0.97
2063,purchase,v,42921,43.22,0.95
2064,guide,n,42871,43.17,0.95
2065,forth,r,42832,43.13,0.96
2066,his,p,42776,43.08,0.95
2067,bond,n,42742,43.04,0.94
2068,birthday,n,42727,43.03,0.98
2069,travel,n,42709,43.01,0.96
2070,pray,v,42700,43.0,0.97
2071,improvement,n,42657,42.96,0.93
2072,ancient,j,42623,42.92,0.96
2073,ought,v,42597,42.9,0.94
2074,escape,v,42473,42.77,0.98
2075,trail,n,42439,42.74,0.92
2076,brown,j,42423,42.72,0.92
2077,fashion,n,42405,42.7,0.96
2078,length,n,42379,42.68,0.94
2079,sheet,n,42366,42.66,0.95
2080,funding,n,42356,42.65,0.94
2081,meanwhile,r,42307,42.6,0.95
2082,fault,n,42283,42.58,0.97
2083,barely,r,42258,42.55,0.94
2084,eliminate,v,42246,42.54,0.95
2085,motion,n,42232,42.53,0.96
2086,essential,j,42222,42.52,0.93
2087,apart,r,42168,42.46,0.98
2088,combination,n,42138,42.43,0.95
2089,limited,j,42129,42.43,0.94
2090,description,n,42091,42.39,0.93
2091,mix,v,42079,42.37,0.96
2092,snow,n,42027,42.32,0.93
2093,implement,v,42004,42.3,0.89
2094,pretty,j,41937,42.23,0.96
2095,proper,j,41810,42.1,0.97
2096,part,r,41783,42.08,0.95
2097,marketing,n,41781,42.07,0.93
2098,approve,v,41740,42.03,0.96
2099,other,i,41717,42.01,0.96
2100,bomb,n,41679,41.97,0.96
2101,slip,v,41664,41.96,0.92
2102,regional,j,41656,41.95,0.91
2103,lack,v,41652,41.94,0.95
2104,muscle,n,41650,41.94,0.94
2105,contact,v,41609,41.9,0.96
2106,rise,n,41609,41.9,0.96
2107,False,j,41580,41.23,0.96
2108,likely,r,41540,41.83,0.94
2109,creation,n,41523,41.81,0.94
2110,typically,r,41485,41.78,0.93
2111,spending,n,41483,41.77,0.93
2112,instrument,n,41473,41.76,0.91
2113,mass,n,41453,41.74,0.95
2114,far,c,41427,41.72,0.96
2115,thick,j,41420,39.96,0.91
2116,kiss,v,41405,41.7,0.92
2117,increased,j,41356,41.65,0.91
2118,inspire,v,41223,41.51,0.96
2119,separate,j,41176,41.47,0.96
2120,noise,n,41144,41.43,0.95
2121,yellow,j,41133,41.42,0.93
2122,aim,v,41126,41.41,0.96
2123,e-mail,n,41092,41.38,0.92
2124,cycle,n,41088,41.38,0.94
2125,signal,n,41085,41.37,0.97
2126,app,n,41082,41.37,0.86
2127,golden,j,41056,41.34,0.95
2128,reject,v,41033,41.32,0.95
2129,inform,v,41031,41.32,0.96
2130,perception,n,41010,41.3,0.87
2131,visitor,n,41006,41.29,0.95
2132,cast,v,41004,41.29,0.97
2133,contrast,n,40982,41.27,0.91
2134,judgment,n,40961,41.25,0.94
2135,mean,j,40927,41.21,0.91
2136,rest,v,40908,41.2,0.95
2137,representative,n,40894,41.18,0.95
2138,pass,n,40865,41.15,0.94
2139,regime,n,40863,41.15,0.9
2140,merely,r,40843,41.13,0.95
2141,producer,n,40843,41.13,0.95
2142,whoa,u,40833,41.12,0.85
2143,route,n,40816,41.1,0.96
2144,lie,n,40794,41.08,0.96
2145,typical,j,40785,41.07,0.95
2146,analyst,n,40785,41.07,0.91
2147,account,v,40739,41.03,0.93
2148,elect,v,40738,41.02,0.94
2149,smell,v,40735,41.02,0.93
2150,female,n,40661,40.95,0.92
2151,living,j,40560,40.84,0.97
2152,disability,n,40559,40.84,0.82
2153,comparison,n,40525,40.81,0.9
2154,hand,v,40469,40.75,0.94
2155,rating,n,40458,40.74,0.93
2156,campus,n,40453,40.74,0.94
2157,assess,v,40352,40.64,0.85
2158,solid,j,40301,40.58,0.97
2159,branch,n,40300,40.58,0.96
2160,mad,j,40286,40.57,0.97
2161,somewhat,r,40283,40.57,0.96
2162,gentleman,n,40277,40.56,0.93
2163,opposition,n,40268,40.55,0.93
2164,fast,j,40261,40.54,0.98
2165,suspect,v,40173,40.46,0.98
2166,land,v,40144,40.43,0.97
2167,hit,n,40121,40.4,0.96
2168,aside,r,40119,40.4,0.97
2169,athlete,n,40094,40.38,0.91
2170,opening,n,40053,40.33,0.97
2171,prayer,n,40037,40.32,0.97
2172,frequently,r,40035,40.32,0.93
2173,employ,v,40014,40.3,0.93
2174,basketball,n,40007,40.29,0.92
2175,existing,j,39974,40.25,0.93
2176,revolution,n,39959,40.24,0.95
2177,click,v,39951,40.23,0.91
2178,emotion,n,39949,40.23,0.97
2179,fuck,n,39924,40.2,0.83
2180,platform,n,39915,40.2,0.93
2181,behind,r,39874,40.15,0.97
2182,frame,n,39817,40.1,0.94
2183,appeal,n,39798,40.08,0.95
2184,quote,v,39780,40.06,0.94
2185,potential,n,39779,40.06,0.94
2186,struggle,n,39777,40.06,0.96
2187,brand,n,39754,40.03,0.94
2188,enable,v,39743,40.02,0.93
2189,legislation,n,39690,39.97,0.94
2190,addition,i,39685,39.96,0.94
2191,lab,n,39668,39.95,0.97
2192,oppose,v,39656,39.93,0.95
2193,row,n,39635,39.91,0.96
2194,immigration,n,39570,39.85,0.91
2195,asset,n,39563,39.84,0.94
2196,observation,n,39551,39.83,0.91
2197,online,r,39528,39.81,0.94
2198,taste,n,39481,39.76,0.97
2199,decline,v,39480,39.76,0.94
2200,attract,v,39479,39.76,0.97
2201,ha,u,39473,39.75,0.89
2202,for,c,39453,39.73,0.96
2203,household,n,39430,39.71,0.94
2204,separate,v,39416,39.69,0.97
2205,breathe,v,39322,39.6,0.94
2206,existence,n,39315,39.59,0.94
2207,mirror,n,39284,39.56,0.94
2208,pilot,n,39272,39.55,0.96
2209,stand,n,39230,39.51,0.97
2210,relief,n,39223,39.5,0.97
2211,milk,n,39204,39.48,0.95
2212,warning,n,39194,39.47,0.98
2213,heaven,n,39105,39.38,0.97
2214,flow,n,39098,39.37,0.94
2215,literally,r,39094,39.37,0.96
2216,quit,v,39091,39.37,0.98
2217,calorie,n,39066,39.34,0.89
2218,seed,n,39062,39.34,0.93
2219,vast,j,38988,39.26,0.96
2220,bike,n,38920,39.19,0.91
2221,german,j,38898,39.17,0.94
2222,employer,n,38895,39.17,0.94
2223,drag,v,38895,39.17,0.96
2224,technical,j,38887,39.16,0.93
2225,disaster,n,38801,39.07,0.96
2226,display,v,38757,39.03,0.95
2227,sale,n,38751,39.02,0.96
2228,bathroom,n,38712,38.98,0.93
2229,succeed,v,38621,38.89,0.97
2230,consistent,j,38618,38.89,0.91
2231,agenda,n,38615,38.89,0.95
2232,enforcement,n,38612,38.88,0.93
2233,diet,n,38595,38.87,0.93
2234,mark,n,38593,38.86,0.98
2235,silence,n,38552,38.82,0.9
2236,journalist,n,38495,38.77,0.95
2237,bible,n,38492,38.76,0.94
2238,queen,n,38445,38.65,0.97
2239,divide,v,38426,38.7,0.96
2240,expense,n,38330,38.6,0.95
2241,cream,n,38234,38.5,0.93
2242,exposure,n,38231,38.5,0.87
2243,priority,n,38168,38.44,0.96
2244,soil,n,38159,38.43,0.91
2245,angel,n,38155,38.42,0.97
2246,journey,n,38098,38.37,0.97
2247,trust,n,38062,38.33,0.96
2248,relevant,j,38034,38.3,0.91
2249,tank,n,38032,38.3,0.96
2250,cheese,n,38025,38.29,0.92
2251,schedule,n,38022,38.29,0.97
2252,bedroom,n,37979,38.25,0.91
2253,tone,n,37956,38.22,0.95
2254,selection,n,37940,38.21,0.93
2255,date,v,37929,38.2,0.98
2256,perfectly,r,37923,38.19,0.97
2257,wheel,n,37921,38.19,0.95
